Date;Open;High;Low;Close;Volume
22.11.24;12,53;12,72;12,20;12,72;373133
25.11.24;12,72;13,14;12,72;12,75;628894
26.11.24;12,58;12,69;12,27;12,45;403933
27.11.24;12,20;12,34;11,91;12,05;558161
28.11.24;12,06;12,44;12,06;12,25;207413
29.11.24;12,20;12,56;12,19;12,45;271227
02.12.24;12,20;12,25;11,57;11,57;666120
03.12.24;11,57;12,02;11,57;11,70;469845
04.12.24;11,57;11,85;11,47;11,81;495982
05.12.24;11,80;11,94;11,73;11,78;388225
06.12.24;11,63;14,06;11,60;13,32;1711478
09.12.24;13,35;13,44;12,84;13,29;753504
10.12.24;13,40;13,49;13,16;13,19;368215
11.12.24;12,99;13,07;12,56;12,70;484332
12.12.24;12,60;12,64;12,35;12,55;340192
13.12.24;12,27;12,65;12,10;12,16;355340
16.12.24;12,10;12,64;11,97;12,49;448498
17.12.24;12,11;12,59;11,99;12,56;467336
18.12.24;12,09;12,40;12,06;12,30;365815
19.12.24;12,00;12,55;11,93;12,47;320343
20.12.24;12,44;12,52;12,03;12,43;960368
23.12.24;12,43;12,81;12,37;12,64;309646
24.12.24;12,70;12,77;12,35;12,35;90766
27.12.24;12,48;12,92;12,48;12,88;278597
30.12.24;12,92;13,00;12,73;12,90;207476
31.12.24;12,97;13,15;12,78;13,15;156273
02.01.25;12,90;13,06;12,63;12,86;256641
03.01.25;12,91;12,93;12,60;12,65;155499
06.01.25;12,74;12,99;12,69;12,90;198675
07.01.25;12,85;13,18;12,85;13,00;275931
08.01.25;13,00;13,01;12,35;12,35;307400
09.01.25;12,34;12,56;12,23;12,33;268954
10.01.25;11,60;12,65;11,00;12,14;1508906
13.01.25;12,01;12,48;11,86;11,86;446208
14.01.25;11,86;11,93;11,28;11,70;633433
15.01.25;12,00;12,30;11,81;12,16;571514
16.01.25;12,02;12,30;11,55;11,55;430997
17.01.25;11,57;11,74;11,36;11,73;430539
20.01.25;11,76;11,90;11,44;11,44;391895
21.01.25;11,34;11,48;11,08;11,23;414945
22.01.25;11,32;11,37;11,01;11,14;388951
23.01.25;11,02;11,31;11,02;11,10;312641
24.01.25;11,25;12,27;11,25;11,89;869305
27.01.25;11,77;12,12;11,71;11,72;484259
28.01.25;11,82;11,96;11,64;11,72;316952
29.01.25;11,72;11,85;11,40;11,44;346681
30.01.25;11,61;11,70;11,13;11,20;344842
31.01.25;11,20;11,41;11,12;11,12;451937
03.02.25;11,00;11,06;10,61;10,99;726401
04.02.25;10,93;11,15;10,73;11,05;339411
05.02.25;11,18;11,26;10,91;10,93;353439
06.02.25;11,02;11,22;10,96;11,15;289229
07.02.25;11,24;11,45;11,00;11,03;324626
10.02.25;11,13;11,14;10,93;10,95;272718
11.02.25;10,86;11,12;10,78;10,90;326951
12.02.25;10,99;11,10;10,77;10,85;274456
13.02.25;11,02;11,17;10,79;11,14;559886
14.02.25;11,30;11,59;11,17;11,31;783920
17.02.25;11,14;11,37;11,06;11,13;448596
18.02.25;11,12;11,44;11,02;11,22;379056
19.02.25;11,26;11,53;11,05;11,10;570096
20.02.25;11,09;11,69;10,98;11,50;513855
21.02.25;11,59;11,65;11,43;11,62;413161
24.02.25;11,65;12,03;11,63;11,82;395224
25.02.25;11,84;12,35;11,83;12,32;521468
26.02.25;12,40;12,40;11,98;12,21;384684
27.02.25;12,02;12,44;12,02;12,44;347690
28.02.25;12,37;12,37;12,06;12,21;696266
03.03.25;12,23;12,62;12,04;12,49;331312
04.03.25;12,40;12,45;12,10;12,14;296030
05.03.25;12,42;12,78;12,36;12,74;384805
06.03.25;12,82;13,70;12,82;13,48;727538
07.03.25;13,52;13,99;13,22;13,59;650998
10.03.25;13,49;13,75;13,36;13,40;533127
11.03.25;13,33;13,40;12,58;12,58;398666
